שם ישוב,אמת,ב,ג,ד,ום,ט,כן,ל,מחל,מרצ,עם,פה,שס,umap_x,umap_y,tsne_x,tsne_y,1,2,3,4,cluster,סמל ישוב,מצביעים,כשרים,פסולים
בניה,6.46,1.25,0.21,0.0,0.0,5.62,24.79,2.29,14.58,4.58,0.0,39.58,0.62,15.22522,10.791821,-20.744467,-3.9544232,יש עתיד בראשות יאיר לפיד לראשות הממשלה:39.58,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:24.79,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:14.58,מפלגת העבודה בראשות מרב מיכאלי:6.46,9,685,486,484,2
בנימינהגבעת עדה,9.95,1.39,0.14,0.1,0.4,4.11,14.48,2.79,18.02,8.2,0.17,38.52,1.72,15.549245,9.691393,-14.5871725,-5.8942885,יש עתיד בראשות יאיר לפיד לראשות הממשלה:38.52,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:18.02,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:14.48,מפלגת העבודה בראשות מרב מיכאלי:9.95,9,9800,7860,7840,20
בסמה,0.25,0.0,0.0,33.93,27.16,0.09,0.9,0.0,0.99,4.58,30.65,0.09,1.36,-4.0559263,7.2963514,-0.06015183,39.230022,"בל""ד - אלתג`מוע אלווטני אלדמוקרטי בראשות סמי אבו ש:33.93",הרשימה הערבית המאוחדת:30.65,"חד""ש תע""ל בראשות איימן עודה ואחמד טיבי:27.16",מרצ השמאל של ישראל בראשות זהבה גלאון:4.58,0,1326,3309,3256,53
בסמת טבעון,0.67,0.04,0.0,12.58,11.74,0.21,1.68,0.13,2.78,1.56,67.55,0.88,0.17,-2.8536072,5.624033,7.5109625,44.785084,הרשימה הערבית המאוחדת:67.55,"בל""ד - אלתג`מוע אלווטני אלדמוקרטי בראשות סמי אבו ש:12.58","חד""ש תע""ל בראשות איימן עודה ואחמד טיבי:11.74",הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:2.78,5,944,2429,2402,27
בענה,0.16,0.03,0.11,23.45,35.63,0.0,0.48,0.03,0.8,0.48,37.99,0.3,0.54,-4.31607,6.582392,2.7671106,38.137897,הרשימה הערבית המאוחדת:37.99,"חד""ש תע""ל בראשות איימן עודה ואחמד טיבי:35.63","בל""ד - אלתג`מוע אלווטני אלדמוקרטי בראשות סמי אבו ש:23.45",הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:0.8,0,483,3793,3748,45
בצרה,8.16,0.68,0.0,0.0,0.0,3.23,15.99,1.87,9.18,7.82,0.34,52.21,0.51,15.785832,13.178444,-24.099012,9.627239,יש עתיד בראשות יאיר לפיד לראשות הממשלה:52.21,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:15.99,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:9.18,מפלגת העבודה בראשות מרב מיכאלי:8.16,1,389,604,603,1
בקוע,4.09,0.65,0.43,0.0,0.22,21.98,9.91,0.86,41.16,1.72,0.0,13.36,5.6,15.992549,2.170101,19.998075,-4.783001,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:41.16,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:21.98,יש עתיד בראשות יאיר לפיד לראשות הממשלה:13.36,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:9.91,3,864,476,472,4
בר גיורא,5.17,1.82,2.13,0.0,0.3,15.81,6.38,1.52,46.5,2.43,0.0,10.64,7.29,15.569206,1.7311522,20.565462,-0.18779474,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:46.5,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:15.81,יש עתיד בראשות יאיר לפיד לראשות הממשלה:10.64,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:7.29,3,823,332,332,0
בר יוחאי,0.0,4.46,6.37,0.0,0.0,50.74,1.27,0.21,21.02,0.0,0.0,0.64,15.29,11.245717,-3.5397987,44.821835,-6.2053633,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:50.74,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:21.02,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:15.29,יהדות התורה והשבת אגודת ישראל - דגל התורה:6.37,2,1191,474,473,1
ברוכין,0.0,6.79,0.78,0.0,0.0,82.51,0.52,0.13,7.7,0.0,0.0,0.0,1.57,9.83011,-4.9793005,54.423367,-8.36796,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:82.51,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:7.7,הבית היהודי בראשות איילת שקד:6.79,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:1.57,7,3744,772,772,0
ברור חיל,17.88,0.2,0.2,0.2,0.39,5.7,19.65,2.95,11.98,6.09,0.2,34.58,0.0,13.271791,11.270211,-29.45537,-6.388196,יש עתיד בראשות יאיר לפיד לראשות הממשלה:34.58,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:19.65,מפלגת העבודה בראשות מרב מיכאלי:17.88,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:11.98,1,428,515,514,1
ברכה,0.09,1.69,0.27,0.09,0.0,45.91,0.18,0.0,50.8,0.09,0.0,0.27,0.62,13.858066,-0.802507,32.975418,-5.3852177,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:50.8,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:45.91,הבית היהודי בראשות איילת שקד:1.69,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:0.62,3,3710,1131,1129,2
ברכיה,0.15,2.04,3.06,0.0,0.0,31.78,2.48,0.29,34.99,0.15,0.0,0.58,24.49,13.603353,0.14725731,32.795856,-1.20418,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:34.99,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:31.78,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:24.49,יהדות התורה והשבת אגודת ישראל - דגל התורה:3.06,8,746,694,693,1
ברעם,11.91,0.0,0.0,0.0,1.11,0.83,10.8,0.83,3.05,31.86,0.0,39.06,0.55,12.188151,15.005956,-46.251637,4.485837,יש עתיד בראשות יאיר לפיד לראשות הממשלה:39.06,מרצ השמאל של ישראל בראשות זהבה גלאון:31.86,מפלגת העבודה בראשות מרב מיכאלי:11.91,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:10.8,6,667,369,367,2
ברקאי,13.27,0.31,0.0,0.0,0.62,1.23,8.33,0.62,2.16,37.96,0.31,34.88,0.31,12.028361,15.04744,-47.731594,4.365131,מרצ השמאל של ישראל בראשות זהבה גלאון:37.96,יש עתיד בראשות יאיר לפיד לראשות הממשלה:34.88,מפלגת העבודה בראשות מרב מיכאלי:13.27,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:8.33,6,617,336,333,3
ברקן,1.09,2.97,0.2,0.0,0.2,17.33,10.5,4.85,48.61,0.69,0.0,13.17,0.4,15.624026,1.8095467,19.928677,1.5008245,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:48.61,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:17.33,יש עתיד בראשות יאיר לפיד לראשות הממשלה:13.17,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:10.5,3,3654,1058,1053,5
ברקת,0.0,0.7,1.89,0.0,0.0,50.15,1.2,0.1,29.01,0.1,0.0,0.9,15.95,11.302393,-3.3684483,43.98592,-6.159241,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:50.15,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:29.01,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:15.95,יהדות התורה והשבת אגודת ישראל - דגל התורה:1.89,2,2038,1012,1011,1
בת הדר,1.99,0.5,1.24,0.0,0.0,8.21,14.68,2.99,41.54,1.0,0.0,20.9,6.97,15.189128,3.1859832,11.254651,-2.7115293,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:41.54,יש עתיד בראשות יאיר לפיד לראשות הממשלה:20.9,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:14.68,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:8.21,11,1323,407,405,2
בת חפר,6.67,0.51,0.17,0.0,0.14,6.47,17.51,2.64,17.58,4.84,0.07,41.89,1.52,16.224422,10.102116,-13.884844,-1.6222547,יש עתיד בראשות יאיר לפיד לראשות הממשלה:41.89,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:17.58,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:17.51,מפלגת העבודה בראשות מרב מיכאלי:6.67,9,1319,3030,3026,4
בת ים,1.9,0.5,1.1,0.13,0.15,11.01,8.39,11.33,36.37,1.06,0.08,18.05,9.94,14.646778,3.1066399,13.155479,-1.7594057,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:36.37,יש עתיד בראשות יאיר לפיד לראשות הממשלה:18.05,ישראל ביתנו בראשות אביגדור ליברמן:11.33,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:11.01,11,6200,63317,62761,556
בת עין,0.0,2.94,4.15,0.0,0.0,75.13,0.0,0.35,10.02,0.17,0.0,0.35,6.91,10.233847,-4.643251,52.708076,-6.7316203,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:75.13,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:10.02,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:6.91,יהדות התורה והשבת אגודת ישראל - דגל התורה:4.15,7,3794,600,594,6
בת שלמה,9.87,1.59,0.64,0.0,0.32,5.41,14.97,2.87,16.88,8.92,0.32,37.9,0.32,15.405545,9.720172,-14.996097,-6.217123,יש עתיד בראשות יאיר לפיד לראשות הממשלה:37.9,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:16.88,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:14.97,מפלגת העבודה בראשות מרב מיכאלי:9.87,9,33,324,323,1
גדיידהמכר,0.29,0.01,0.02,32.25,42.27,0.09,0.09,0.04,0.98,1.14,21.99,0.71,0.12,-4.909795,7.034734,0.056308344,35.93457,"חד""ש תע""ל בראשות איימן עודה ואחמד טיבי:42.27","בל""ד - אלתג`מוע אלווטני אלדמוקרטי בראשות סמי אבו ש:32.25",הרשימה הערבית המאוחדת:21.99,מרצ השמאל של ישראל בראשות זהבה גלאון:1.14,10,1292,8182,8115,67
גולס,2.39,0.42,0.04,0.23,1.04,0.19,22.46,32.11,15.32,5.87,1.43,14.82,3.67,13.352149,9.808208,-2.6028936,5.294764,ישראל ביתנו בראשות אביגדור ליברמן:32.11,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:22.46,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:15.32,יש עתיד בראשות יאיר לפיד לראשות הממשלה:14.82,9,485,2674,2628,46
גלגוליה,0.44,0.0,0.02,17.2,19.88,0.04,0.23,0.0,0.27,0.53,61.21,0.13,0.04,-3.2020319,5.8725996,6.2742825,43.472755,הרשימה הערבית המאוחדת:61.21,"חד""ש תע""ל בראשות איימן עודה ואחמד טיבי:19.88","בל""ד - אלתג`מוע אלווטני אלדמוקרטי בראשות סמי אבו ש:17.2",מרצ השמאל של ישראל בראשות זהבה גלאון:0.53,5,627,4779,4746,33
גסר אזרקא,0.69,0.07,0.05,21.11,41.78,0.17,0.1,0.07,1.23,1.68,32.49,0.37,0.17,-4.627598,6.6120133,2.4999595,36.551823,"חד""ש תע""ל בראשות איימן עודה ואחמד טיבי:41.78",הרשימה הערבית המאוחדת:32.49,"בל""ד - אלתג`מוע אלווטני אלדמוקרטי בראשות סמי אבו ש:21.11",מרצ השמאל של ישראל בראשות זהבה גלאון:1.68,10,541,4147,4108,39
גש גוש חלב,3.29,0.0,0.24,26.92,36.62,0.32,2.56,0.08,2.88,8.57,11.46,6.89,0.16,-5.0560517,7.1149864,-0.42440778,33.813904,"חד""ש תע""ל בראשות איימן עודה ואחמד טיבי:36.62","בל""ד - אלתג`מוע אלווטני אלדמוקרטי בראשות סמי אבו ש:26.92",הרשימה הערבית המאוחדת:11.46,מרצ השמאל של ישראל בראשות זהבה גלאון:8.57,10,487,1271,1263,8
גת,0.06,0.0,0.0,46.08,25.56,0.03,0.27,0.0,0.68,1.12,25.94,0.24,0.03,-3.89683,7.6159563,-1.3831332,39.794327,"בל""ד - אלתג`מוע אלווטני אלדמוקרטי בראשות סמי אבו ש:46.08",הרשימה הערבית המאוחדת:25.94,"חד""ש תע""ל בראשות איימן עודה ואחמד טיבי:25.56",מרצ השמאל של ישראל בראשות זהבה גלאון:1.12,0,628,3463,3414,49
גאולים,5.09,1.76,0.39,0.0,0.0,13.89,14.68,0.78,31.9,1.96,0.0,24.46,5.09,15.125377,4.6894217,6.1411443,-7.86574,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:31.9,יש עתיד בראשות יאיר לפיד לראשות הממשלה:24.46,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:14.68,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:13.89,11,379,529,528,1
גאליה,5.83,0.0,0.51,0.0,0.17,4.8,19.04,3.43,18.18,3.6,0.0,44.25,0.17,16.279108,10.352083,-13.700766,-0.06266616,יש עתיד בראשות יאיר לפיד לראשות הממשלה:44.25,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:19.04,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:18.18,מפלגת העבודה בראשות מרב מיכאלי:5.83,1,853,604,599,5
גבים,23.68,0.62,0.0,0.0,0.0,4.05,22.12,1.87,6.54,10.9,0.0,29.6,0.62,12.074097,12.222872,-35.131397,-8.7284355,יש עתיד בראשות יאיר לפיד לראשות הממשלה:29.6,מפלגת העבודה בראשות מרב מיכאלי:23.68,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:22.12,מרצ השמאל של ישראל בראשות זהבה גלאון:10.9,6,424,331,328,3
גבע,25.86,0.57,0.0,0.0,0.0,0.0,16.09,1.72,2.59,6.9,0.29,45.98,0.0,12.7768955,12.355981,-35.495056,-1.6755828,יש עתיד בראשות יאיר לפיד לראשות הממשלה:45.98,מפלגת העבודה בראשות מרב מיכאלי:25.86,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:16.09,מרצ השמאל של ישראל בראשות זהבה גלאון:6.9,1,86,351,351,0
גבע בנימין,0.59,1.38,1.66,0.0,0.0,33.87,3.32,1.66,31.62,0.32,0.0,3.4,22.17,13.608425,0.06417118,32.97134,-1.8203956,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:33.87,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:31.62,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:22.17,יש עתיד בראשות יאיר לפיד לראשות הממשלה:3.4,8,3763,2566,2556,10
גבע כרמל,9.01,0.74,0.18,0.0,0.0,8.82,19.49,0.0,25.0,2.76,0.18,32.72,1.1,15.402334,7.2952156,-4.659186,-7.994305,יש עתיד בראשות יאיר לפיד לראשות הממשלה:32.72,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:25.0,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:19.49,מפלגת העבודה בראשות מרב מיכאלי:9.01,9,683,550,550,0
גבעון החדשה,2.94,2.61,0.33,0.0,0.0,14.85,14.85,5.87,36.22,1.63,0.0,17.46,3.26,15.336301,4.0007997,10.387681,-6.741846,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:36.22,יש עתיד בראשות יאיר לפיד לראשות הממשלה:17.46,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:14.85,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:14.85,11,3644,650,646,4
גבעות בר,4.66,1.3,0.0,0.19,0.0,17.69,22.35,1.86,27.19,1.12,0.19,22.16,1.3,15.552197,4.88524,4.394599,-9.975339,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:27.19,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:22.35,יש עתיד בראשות יאיר לפיד לראשות הממשלה:22.16,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:17.69,11,1344,552,551,1
גבעת אבני,1.89,1.72,0.26,0.0,0.0,14.29,15.49,2.32,35.54,1.81,0.0,21.34,5.34,15.2486315,4.1301293,10.099346,-6.4479356,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:35.54,יש עתיד בראשות יאיר לפיד לראשות הממשלה:21.34,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:15.49,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:14.29,11,1293,1191,1187,4
גבעת אלה,10.93,0.71,0.0,0.0,0.44,2.13,13.16,1.78,9.96,10.4,0.09,49.78,0.62,15.330754,13.579635,-27.168804,9.11004,יש עתיד בראשות יאיר לפיד לראשות הממשלה:49.78,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:13.16,מפלגת העבודה בראשות מרב מיכאלי:10.93,מרצ השמאל של ישראל בראשות זהבה גלאון:10.4,1,1288,1137,1135,2
גבעת ברנר,18.93,0.64,0.14,0.0,0.36,2.7,16.51,1.21,9.32,9.25,0.0,40.14,0.78,12.885353,11.834529,-32.175667,-4.300682,יש עתיד בראשות יאיר לפיד לראשות הממשלה:40.14,מפלגת העבודה בראשות מרב מיכאלי:18.93,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:16.51,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:9.32,1,147,1430,1427,3
גבעת השלושה,18.97,0.25,0.74,0.0,0.49,2.96,17.98,2.96,9.36,8.13,0.0,36.95,1.23,13.086835,11.490939,-31.246754,-5.5000443,יש עתיד בראשות יאיר לפיד לראשות הממשלה:36.95,מפלגת העבודה בראשות מרב מיכאלי:18.97,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:17.98,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:9.36,1,870,412,411,1
גבעת זאב,0.74,1.28,20.0,0.0,0.0,19.2,4.22,0.96,23.14,0.3,0.02,4.48,25.66,13.259725,1.4284314,26.27592,-10.644783,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:25.66,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:23.14,יהדות התורה והשבת אגודת ישראל - דגל התורה:20.0,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:19.2,8,3730,9703,9663,40
גבעת חיים איחוד,38.38,0.0,0.14,0.14,0.14,0.41,10.87,0.83,2.61,11.14,0.55,34.66,0.14,11.301628,12.490544,-40.201824,-8.297764,מפלגת העבודה בראשות מרב מיכאלי:38.38,יש עתיד בראשות יאיר לפיד לראשות הממשלה:34.66,מרצ השמאל של ישראל בראשות זהבה גלאון:11.14,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:10.87,6,2018,740,736,4
גבעת חיים מאוחד,25.34,0.61,0.15,0.15,0.46,3.19,11.23,1.21,4.86,16.54,0.15,35.66,0.46,11.78841,12.746409,-39.27029,-4.8841734,יש עתיד בראשות יאיר לפיד לראשות הממשלה:35.66,מפלגת העבודה בראשות מרב מיכאלי:25.34,מרצ השמאל של ישראל בראשות זהבה גלאון:16.54,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:11.23,6,173,672,670,2
גבעת יואב,10.53,2.05,0.0,0.0,0.0,8.77,19.88,2.34,15.2,4.09,0.0,36.55,0.58,14.821996,10.290514,-19.670956,-7.343651,יש עתיד בראשות יאיר לפיד לראשות הממשלה:36.55,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:19.88,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:15.2,מפלגת העבודה בראשות מרב מיכאלי:10.53,9,4021,354,352,2
גבעת יערים,7.2,1.1,1.1,0.0,0.47,14.87,13.93,1.88,32.86,7.51,0.0,14.4,4.69,15.207639,4.315066,9.188245,-9.189908,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:32.86,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:14.87,יש עתיד בראשות יאיר לפיד לראשות הממשלה:14.4,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:13.93,11,787,653,650,3
גבעת ישעיהו,13.93,1.11,0.56,0.56,1.39,8.36,16.16,1.39,14.48,10.86,0.0,28.41,2.79,14.735292,9.506211,-13.860622,-10.460318,יש עתיד בראשות יאיר לפיד לראשות הממשלה:28.41,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:16.16,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:14.48,מפלגת העבודה בראשות מרב מיכאלי:13.93,9,919,367,366,1
גבעת כח,3.23,1.41,1.41,0.0,0.0,20.36,10.28,1.21,41.13,1.01,0.0,14.31,5.65,15.9703245,2.320636,19.422962,-4.596541,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:41.13,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:20.36,יש עתיד בראשות יאיר לפיד לראשות הממשלה:14.31,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:10.28,3,802,508,507,1
גבעת נילי,5.71,1.2,0.3,0.0,0.3,4.5,9.01,1.5,46.85,4.2,0.0,25.53,0.9,15.292116,3.0132792,9.476761,-0.9977496,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:46.85,יש עתיד בראשות יאיר לפיד לראשות הממשלה:25.53,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:9.01,מפלגת העבודה בראשות מרב מיכאלי:5.71,11,360,341,340,1
גבעת שמואל,2.79,9.17,1.59,0.07,0.08,24.31,12.17,1.9,24.29,1.95,0.07,14.8,6.81,15.146834,3.569206,13.984591,-9.97884,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:24.31,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:24.29,יש עתיד בראשות יאיר לפיד לראשות הממשלה:14.8,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:12.17,11,681,15097,15059,38
גבעתי,0.96,1.35,2.12,0.0,0.0,16.15,17.31,0.58,41.92,0.77,0.0,6.54,12.31,15.544117,2.0377758,20.497826,-1.6427023,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:41.92,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:17.31,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:16.15,התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדי:12.31,3,793,523,523,0
גבעתיים,10.67,0.99,0.47,0.09,0.52,4.04,15.17,3.39,16.05,8.71,0.08,38.28,1.54,15.449889,9.835787,-15.3592005,-6.046677,יש עתיד בראשות יאיר לפיד לראשות הממשלה:38.28,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:16.05,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:15.17,מפלגת העבודה בראשות מרב מיכאלי:10.67,9,6300,34032,33932,100
גברעם,8.28,0.92,0.31,0.0,0.0,3.99,21.47,4.29,6.44,6.44,0.0,46.93,0.92,15.416186,12.326654,-23.490456,2.2142017,יש עתיד בראשות יאיר לפיד לראשות הממשלה:46.93,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:21.47,מפלגת העבודה בראשות מרב מיכאלי:8.28,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:6.44,1,342,337,336,1
גבת,24.51,0.0,0.0,0.0,0.18,1.25,18.96,1.61,3.22,7.33,0.0,42.75,0.18,12.82467,12.215414,-35.265682,-2.6617575,יש עתיד בראשות יאיר לפיד לראשות הממשלה:42.75,מפלגת העבודה בראשות מרב מיכאלי:24.51,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:18.96,מרצ השמאל של ישראל בראשות זהבה גלאון:7.33,1,133,569,568,1
גדרה,3.88,1.1,0.85,0.01,0.1,14.97,12.89,2.25,31.25,2.56,0.04,24.51,5.61,15.104089,4.598474,6.538178,-8.114891,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:31.25,יש עתיד בראשות יאיר לפיד לראשות הממשלה:24.51,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:14.97,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:12.89,11,2550,14264,14202,62
גזית,13.25,0.22,0.0,0.22,0.44,1.55,14.13,3.31,2.65,26.05,0.0,38.19,0.0,12.3497,14.586452,-44.24244,3.681522,יש עתיד בראשות יאיר לפיד לראשות הממשלה:38.19,מרצ השמאל של ישראל בראשות זהבה גלאון:26.05,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:14.13,מפלגת העבודה בראשות מרב מיכאלי:13.25,6,457,469,469,0
גיאה,8.04,1.18,0.47,0.0,0.47,8.75,15.37,1.42,20.8,4.26,0.0,37.59,1.65,16.054972,8.635373,-9.863094,-4.3757963,יש עתיד בראשות יאיר לפיד לראשות הממשלה:37.59,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:20.8,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:15.37,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:8.75,9,706,431,430,1
גילון,8.77,1.51,0.3,0.15,0.0,2.12,16.79,4.39,9.53,4.99,0.0,51.44,0.0,15.81032,13.049516,-22.997837,9.131535,יש עתיד בראשות יאיר לפיד לראשות הממשלה:51.44,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:16.79,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:9.53,מפלגת העבודה בראשות מרב מיכאלי:8.77,1,1204,673,670,3
גילת,1.42,0.83,0.59,0.0,0.0,24.76,12.91,0.36,45.26,0.12,0.0,9.12,4.62,15.839618,1.8283253,22.477255,-4.0133476,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:45.26,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:24.76,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:12.91,יש עתיד בראשות יאיר לפיד לראשות הממשלה:9.12,3,736,869,865,4
גינוסר,16.32,0.26,0.26,0.0,0.26,4.15,13.21,1.81,17.88,5.18,0.0,39.9,0.78,15.259688,9.855147,-22.953485,-5.2771587,יש עתיד בראשות יאיר לפיד לראשות הממשלה:39.9,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:17.88,מפלגת העבודה בראשות מרב מיכאלי:16.32,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:13.21,1,262,393,390,3
גיניגר,23.18,0.56,0.28,0.28,0.28,1.96,17.04,4.19,6.98,13.13,0.28,31.84,0.0,11.9795475,12.321231,-35.73307,-7.9767046,יש עתיד בראשות יאיר לפיד לראשות הממשלה:31.84,מפלגת העבודה בראשות מרב מיכאלי:23.18,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:17.04,מרצ השמאל של ישראל בראשות זהבה גלאון:13.13,6,92,365,361,4
גינתון,7.14,0.2,0.0,0.0,0.2,6.73,18.37,2.65,19.39,2.86,0.0,39.39,3.06,16.057365,9.246392,-11.042242,-2.2947338,יש עתיד בראשות יאיר לפיד לראשות הממשלה:39.39,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:19.39,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:18.37,מפלגת העבודה בראשות מרב מיכאלי:7.14,9,863,504,502,2
