שם ישוב,אמת,ב,ג,ד,ום,ט,כן,ל,מחל,מרצ,עם,פה,שס,umap_x,umap_y,tsne_x,tsne_y,1,2,3,4,cluster,סמל ישוב,מצביעים,כשרים,פסולים
רקפת,13.45,0.35,0.0,0.35,0.0,3.36,15.04,4.25,7.79,7.61,0.18,47.43,0.18,14.938402,13.404459,-27.657068,6.670022,יש עתיד בראשות יאיר לפיד לראשות הממשלה:47.43,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:15.04,מפלגת העבודה בראשות מרב מיכאלי:13.45,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:7.79,1,1228,576,575,1
רשפון,6.22,0.15,0.0,0.0,0.15,1.52,14.42,2.28,13.05,10.62,0.0,51.29,0.3,15.805932,12.978826,-23.938293,11.230676,יש עתיד בראשות יאיר לפיד לראשות הממשלה:51.29,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:14.42,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:13.05,מרצ השמאל של ישראל בראשות זהבה גלאון:10.62,1,247,675,674,1
רשפים,11.51,5.09,0.0,0.0,0.19,6.23,22.64,1.13,10.19,9.62,0.19,31.89,1.32,14.05807,10.700572,-24.473457,-7.069155,יש עתיד בראשות יאיר לפיד לראשות הממשלה:31.89,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:22.64,מפלגת העבודה בראשות מרב מיכאלי:11.51,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:10.19,9,437,546,545,1
שבי ציון,8.55,1.32,0.0,0.0,0.0,5.92,19.57,1.32,19.74,5.92,0.16,36.68,0.82,15.661497,9.204593,-10.345351,-6.8345075,יש עתיד בראשות יאיר לפיד לראשות הממשלה:36.68,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:19.74,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:19.57,מפלגת העבודה בראשות מרב מיכאלי:8.55,9,282,625,625,0
שבי שומרון,0.0,1.94,1.29,0.0,0.0,73.92,1.08,1.29,18.75,0.0,0.0,0.43,1.29,10.438497,-4.456536,51.236187,-6.936898,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:73.92,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:18.75,הבית היהודי בראשות איילת שקד:1.94,יהדות התורה והשבת אגודת ישראל - דגל התורה:1.29,7,3571,467,466,1
שבלי  אום אלגנם,2.37,0.0,0.13,11.17,13.09,0.13,1.16,0.27,1.47,0.94,68.1,0.63,0.54,-2.8677907,5.601725,7.9027905,44.408512,הרשימה הערבית המאוחדת:68.1,"חד""ש תע""ל בראשות איימן עודה ואחמד טיבי:13.09","בל""ד - אלתג`מוע אלווטני אלדמוקרטי בראשות סמי אבו ש:11.17",מפלגת העבודה בראשות מרב מיכאלי:2.37,5,913,2276,2258,18
שגבשלום,0.22,0.0,0.03,1.33,25.33,0.0,0.09,0.0,1.67,0.51,70.59,0.09,0.13,-2.7726812,5.382789,9.480871,43.779507,הרשימה הערבית המאוחדת:70.59,"חד""ש תע""ל בראשות איימן עודה ואחמד טיבי:25.33",הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:1.67,"בל""ד - אלתג`מוע אלווטני אלדמוקרטי בראשות סמי אבו ש:1.33",5,1286,3222,3187,35
שדה אילן,0.9,14.63,0.6,0.0,0.0,36.72,16.72,0.9,22.69,0.0,0.0,3.58,3.28,12.604619,-2.5582929,39.319786,-10.647349,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:36.72,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:22.69,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:16.72,הבית היהודי בראשות איילת שקד:14.63,2,721,340,340,0
שדה אליהו,3.32,16.88,1.02,0.0,0.0,37.34,12.28,1.02,20.2,0.26,0.0,7.67,0.0,12.607981,-2.6025546,39.82858,-11.071259,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:37.34,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:20.2,הבית היהודי בראשות איילת שקד:16.88,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:12.28,2,304,398,396,2
שדה אליעזר,3.3,1.76,2.42,0.0,0.22,11.21,23.96,1.32,27.91,2.42,0.0,23.96,1.54,15.605225,5.146013,2.9319043,-9.406689,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה:27.91,המחנה הממלכתי בהנהגת בני גנץ לראשות הממשלה:23.96,יש עתיד בראשות יאיר לפיד לראשות הממשלה:23.96,הציונות הדתית בראשות בצלאל סמוטריץ` ועוצמה יהודית:11.21,11,861,471,471,0
